,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
15749,Mall Town USA,,,,,,,False
15750,Kings of Atlantis,"6,6",50.0,,2017,,"Cody Owen, Joseph Kenny, Kevin Dean, Elizabeth Maxwell",False
15751,Taking Responsibility: Standing Up for Yourself,,,,1986,,,False
15752,The Weakly Reporter,"6,1",250.0,,1944,Chuck Jones,"Mel Blanc, Bea Benaderet, Frank Graham",False
15753,Lovesick Fool - Love in the Age of Like,"7,1",48.0,,2018,Dominic Polcino,"Dominic Polcino, Lisa Kudrow, Janeane Garofalo, Fred Willard",False
15754,Mermaid Magic,,,,,,,False
15755,Aru Zonbi Shoujo no Sainan,"5,4",97.0,,2018,Hideaki Iwami,"Saori Hayami, Mao Ichimichi, Yurika Kubo, Takahiro Miwa",False
15756,The Arnold Waltz,"6,5",49.0,,1990,,,False
15757,My ne mozhem zhit bez kosmosa,"7,6",2018.0,,2014,,,False
15758,Salang-Eun Danbaegjil,,,,2008,,,False
15759,Billy's Balloon,"7,1",2961.0,,1998,,,False
15760,Bob the Builder on Site: Roads and Bridges (2008 Video),"6,3",18.0,,2008,"Geoff Walker, Sam Babrovskie, Barbara Biddulph, Richard Edmunds, Brian Little","Marc Silk, Lorelei King, Emma Tate, Jack Horan",False
15761,Dot-t,,,,,Mia Young,"Patrick Bergin, Tamara Lawrance, Kara-Leah Fernandes, Ricky Chaplin",False
15762,Guardians of the Galaxy (II),"7,3",14.0,,2015,,"Kevin Michael Richardson, Will Friedle, Vanessa Marshall, Trevor Devall",False
15763,Rupan sansei: Nusumareta rupan (2004 TV Movie),"6,8",238.0,,2004,Hidehito Ueda,"Takeshi Aono, Yu Asakawa, Makio Inoue, Kiyoshi Kobayashi",False
15764,Pig City,"7,7",105.0,,2002,,"Dean Hagopian, Thor Bishopric, Ricky Mabe, Emma Campbell",False
15765,Long Distance Relationship,"7,9",23.0,,2017,Carolina Markowicz,Matías Singer,False
15766,Sinfonía de la granja,"6,5",643.0,,1938,Jack Cutting,"Billy Bletcher, Melvin J. Gibby, Florence Gill, Beatrice Hagen",False
15767,Implosion: Zero Day,,,,,Anton Mark-Hitchman,"Stephanie Sheh, Stefanie Joosten",False
